ruleID	organism	gene	nodeID	refseq accession	GenBank accession	HMM accession	ARO accession	mutation	variation type	context	drug	drug class	phenotype	clinical category	breakpoint	breakpoint standard	PMID	evidence code	evidence grade	evidence limitations	rule curation note	
ACI0048	s__Acinetobacter baumannii	blaNDM-2	blaNDM-2	WP_063860860.1	-	-	ARO:3000590	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	21427107	ECO:0001103 natural variation mutant evidence	strong		MIC >32 mg/L (imipenem) ; MIC >32 mg/L (meropenem) 	
ACI0049	s__Acinetobacter baumannii	blaNDM-6	blaNDM-6	WP_032495384.1	-	-	ARO:3002356	-	Gene presence detected	acquired	-	carbapenem	nonwildtype	R	not applicable	EUCAST v14.0 (2024)	33240245	ECO:0001103 natural variation mutant evidence	strong		MIC >32 mg/L (imipenem) ; MIC >32 mg/L (meropenem)	
ACI0050	s__Acinetobacter baumannii	blaOXA-23_fam	blaOXA-23_fam	-	-	NF000266.2	ARO:3007710	-	Gene presence detected	acquired	imipenem	-	nonwildtype	R	MIC > 4 mg/L	EUCAST v14.0 (2024)	10602749	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence of the degree to which MIC is affected	"bla0XA-23 is a core gene in Acinetobacter radioresistens, acquired in all other organisms."	
ACI0051	s__Acinetobacter baumannii	blaOXA-23_fam	blaOXA-23_fam	-	-	NF000266.2	ARO:3007710	-	Gene presence detected	acquired	meropenem	-	nonwildtype	R	MIC > 8 mg/L	EUCAST v14.0 (2024)	10602749	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence of the degree to which MIC is affected	"bla0XA-23 is a core gene in Acinetobacter radioresistens, acquired in all other organisms."	
ACI0052	s__Acinetobacter baumannii	blaOXA-23	blaOXA-23	WP_001046004.1	-	-	ARO:3001418	-	Gene presence detected	acquired	imipenem	-	nonwildtype	R	MIC > 4 mg/L	EUCAST v14.0 (2024)	10602749	ECO:0001103 natural variation mutant evidence	strong		"blaOXA-23 is a core gene in Acinetobacter radioresistens and does not confer carbapenem resistance unless there is an IS element upstream that leads to overexpression. blaOXA-23 can be acquired by other Acinetobacter species and is associated with ISAba1, and carbapenem resistance."	
ACI0053	s__Acinetobacter baumannii	blaOXA-23	blaOXA-23	WP_001046004.1	-	-	ARO:3001418	-	Gene presence detected	acquired	meropenem	-	nonwildtype	R	MIC > 8 mg/L	EUCAST v14.0 (2024)	10602749	ECO:0001103 natural variation mutant evidence	strong		"blaOXA-23 is a core gene in Acinetobacter radioresistens and does not confer carbapenem resistance unless there is an IS element upstream that leads to overexpression. blaOXA-23 can be acquired by other Acinetobacter species and is associated with ISAba1, and carbapenem resistance."	
ACI0054	s__Acinetobacter baumannii	blaOXA-27	blaOXA-27	WP_063862443.1	-	-	ARO:3001422	-	Gene presence detected	acquired	imipenem	-	nonwildtype	R	MIC > 4 mg/L	EUCAST v14.0 (2024)	11158758	ECO:0001103 natural variation mutant evidence	strong		"bla0XA-23 is a core gene in Acinetobacter radioresistens, acquired in all other organisms."	
ACI0055	s__Acinetobacter baumannii	blaOXA-27	blaOXA-27	WP_063862443.1	-	-	ARO:3001422	-	Gene presence detected	acquired	meropenem	-	nonwildtype	R	MIC > 8 mg/L	EUCAST v14.0 (2024)	11158758	ECO:0001103 natural variation mutant evidence	strong		"bla0XA-23 is a core gene in Acinetobacter radioresistens, acquired in all other organisms."	
ACI0056	s__Acinetobacter baumannii	blaOXA-49	blaOXA-49	WP_063864111.1	-	-	ARO:3001671	-	Gene presence detected	acquired	imipenem	-	nonwildtype	R	MIC > 4 mg/L	EUCAST v14.0 (2024)	22842601	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence of the degree to which MIC is affected	No specific MIC is described in the associated paper.	
ACI0057	s__Acinetobacter baumannii	blaOXA-49	blaOXA-49	WP_063864111.1	-	-	ARO:3001671	-	Gene presence detected	acquired	meropenem	-	nonwildtype	R	MIC > 8 mg/L	EUCAST v14.0 (2024)	22842601	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence of the degree to which MIC is affected	No specific MIC is described in the associated paper.	
ACI0058	s__Acinetobacter baumannii	blaOXA-146	blaOXA-146	WP_063861044.1	-	-	ARO:3001779	-	Gene presence detected	acquired	imipenem	-	nonwildtype	R	MIC > 4 mg/L	EUCAST v14.0 (2024)	23877677	ECO:0001103 natural variation mutant evidence	strong	lacks evidence of the degree to which MIC is affected		
ACI0059	s__Acinetobacter baumannii	blaOXA-146	blaOXA-146	WP_063861044.1	-	-	ARO:3001779	-	Gene presence detected	acquired	meropenem	-	nonwildtype	R	MIC > 8 mg/L	EUCAST v14.0 (2024)	23877677	ECO:0001103 natural variation mutant evidence	strong	lacks evidence of the degree to which MIC is affected		
ACI0060	s__Acinetobacter baumannii	blaOXA-165	blaOXA-165	WP_063861123.1	-	-	ARO:3001465	-	Gene presence detected	acquired	imipenem	-	nonwildtype	R	MIC > 4 mg/L	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0061	s__Acinetobacter baumannii	blaOXA-165	blaOXA-165	WP_063861123.1	-	-	ARO:3001465	-	Gene presence detected	acquired	meropenem	-	nonwildtype	R	MIC > 8 mg/L	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0062	s__Acinetobacter baumannii	blaOXA-166	blaOXA-166	WP_063861129.1	-	-	ARO:3001466	-	Gene presence detected	acquired	imipenem	-	nonwildtype	R	MIC > 4 mg/L	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0063	s__Acinetobacter baumannii	blaOXA-166	blaOXA-166	WP_063861129.1	-	-	ARO:3001466	-	Gene presence detected	acquired	meropenem	-	nonwildtype	R	MIC > 8 mg/L	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0064	s__Acinetobacter baumannii	blaOXA-167	blaOXA-167	WP_063861133.1	-	-	ARO:3001467	-	Gene presence detected	acquired	imipenem	-	nonwildtype	R	MIC > 4 mg/L	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0065	s__Acinetobacter baumannii	blaOXA-167	blaOXA-167	WP_063861133.1	-	-	ARO:3001467	-	Gene presence detected	acquired	meropenem	-	nonwildtype	R	MIC > 8 mg/L	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0066	s__Acinetobacter baumannii	blaOXA-168	blaOXA-168	WP_063861136.1	-	-	ARO:3001468	-	Gene presence detected	acquired	imipenem	-	nonwildtype	R	MIC > 4 mg/L	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0067	s__Acinetobacter baumannii	blaOXA-168	blaOXA-168	WP_063861136.1	-	-	ARO:3001468	-	Gene presence detected	acquired	meropenem	-	nonwildtype	R	MIC > 8 mg/L	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0068	s__Acinetobacter baumannii	blaOXA-169	blaOXA-169	WP_063861140.1	-	-	ARO:3001469	-	Gene presence detected	acquired	imipenem	-	nonwildtype	R	MIC > 4 mg/L	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0069	s__Acinetobacter baumannii	blaOXA-169	blaOXA-169	WP_063861140.1	-	-	ARO:3001469	-	Gene presence detected	acquired	meropenem	-	nonwildtype	R	MIC > 8 mg/L	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0070	s__Acinetobacter baumannii	blaOXA-170	blaOXA-170	WP_063861151.1	-	-	ARO:3001470	-	Gene presence detected	acquired	imipenem	-	nonwildtype	R	MIC > 4 mg/L	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0071	s__Acinetobacter baumannii	blaOXA-170	blaOXA-170	WP_063861151.1	-	-	ARO:3001470	-	Gene presence detected	acquired	meropenem	-	nonwildtype	R	MIC > 8 mg/L	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0072	s__Acinetobacter baumannii	blaOXA-171	blaOXA-171	WP_063861157.1	-	-	ARO:3001471	-	Gene presence detected	acquired	imipenem	-	nonwildtype	R	MIC > 4 mg/L	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0073	s__Acinetobacter baumannii	blaOXA-171	blaOXA-171	WP_063861157.1	-	-	ARO:3001471	-	Gene presence detected	acquired	meropenem	-	nonwildtype	R	MIC > 8 mg/L	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0074	s__Acinetobacter baumannii	blaOXA-225	blaOXA-225	WP_063861820.1	-	-	ARO:3001493	-	Gene presence detected	acquired	imipenem	-	nonwildtype	R	MIC > 4 mg/L	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0075	s__Acinetobacter baumannii	blaOXA-225	blaOXA-225	WP_063861820.1	-	-	ARO:3001493	-	Gene presence detected	acquired	meropenem	-	nonwildtype	R	MIC > 8 mg/L	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0076	s__Acinetobacter baumannii	blaOXA-239	blaOXA-239	WP_063862190.1	-	-	ARO:3001498	-	Gene presence detected	acquired	imipenem	-	nonwildtype	R	MIC > 4 mg/L	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0077	s__Acinetobacter baumannii	blaOXA-239	blaOXA-239	WP_063862190.1	-	-	ARO:3001498	-	Gene presence detected	acquired	meropenem	-	nonwildtype	R	MIC > 8 mg/L	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
ACI0078	s__Acinetobacter baumannii	blaOXA-366	blaOXA-366	WP_063862736.1	-	-	ARO:3001553	-	Gene presence detected	acquired	imipenem	-	nonwildtype	R	MIC > 4 mg/L	EUCAST v14.0 (2024)	-	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this allele	No associated paper available specifically for this allele. Phenotype inferred from the family.	
