ruleID	organism	gene	nodeID	refseq accession	GenBank accession	HMM accession	ARO accession	mutation	variation type	context	drug	drug class	phenotype	clinical category	breakpoint	breakpoint standard	PMID	evidence code	evidence grade	evidence limitations	rule curation note										
BOR0017	s__Bordetella bronchiseptica	dfrA7	dfrA7	WP_63844474.1	-	-	-	-	Gene presence detected	acquired	trimethoprim	-	nonwildtype	R	MIC >64 mg/L	PMID: 16046466	26275219	ECO:0001103 natural variation mutant evidence	weak	lacks evidence of the degree to which MIC is affected	B. bronchiseptica strains carrying dfrA7 also carry sul1. dfrA7 in combination with sul1 confers resistance to trimethoprim-sulfamethoxazole. The degree to which dfrA7 affects trimethoprim MIC alone is unknown as this has not been investigated.										
BOR0018	s__Bordetella bronchiseptica	dfrB1	dfrB1	WP_63844476.1	-	-	-	-	Gene presence detected	acquired	trimethoprim	-	nonwildtype	R	MIC >64 mg/L	PMID: 16046466	16046466	ECO:0001103 natural variation mutant evidence	moderate	statistical geno/pheno evidence but no experimental evidence	B. bronchiseptica strains carrying dfrB1 also carry sul1. No B. bronchiseptica strains carrying dfrB1 only has been reported in the literature to date.  It is assumed that resistance to trimethroprim in strains carrying dfrA1-sul1 (PMID: 16046466) is due to dfrA1 based on results in other genus. 										
BOR0019	s__Bordetella bronchiseptica	(BOR0005) & (BOR0016 | BOR0017 | BOR0018)	-	-	-	-	-	-	Combination	acquired	trimethoprim-sulfamethoxazole	-	nonwildtype	R	MIC >1 mg/L	Inferred from EUCAST distribution and PMID:26275219	26275219; 16046466	ECO:0001103 natural variation mutant evidence	moderate	statistical geno/pheno evidence but no experimental evidence											
BOR0020	s__Bordetella bronchiseptica	catB3	catB3	WP_063843227.1	-	-	-	-	Gene presence detected	acquired	chloramphenicol	-	nonwildtype	R	MIC >16 mg/L	PMID: 16046466	16046466	ECO:0001103 natural variation mutant evidence	moderate	statistical geno/pheno evidence but no experimental evidence											
BOR0021	s__Bordetella bronchiseptica	catB2	catB2	WP_011113045.1	-	-	-	-	Gene presence detected	acquired	chloramphenicol	-	nonwildtype	R	MIC >16 mg/L	PMID: 16046466	16046466	ECO:0001103 natural variation mutant evidence	moderate	statistical geno/pheno evidence but no experimental evidence											
BOR0022	s__Bordetella bronchiseptica	cmlB1	cmlB1	WP_024160909.1	-	-	-	-	Gene presence detected	acquired	chloramphenicol	-	nonwildtype	R	MIC >128 mg/L	PMID: 17224413	17224413	ECO:0001103 natural variation mutant evidence	strong		also ECO:0000020 protein inhibition evidence										
BOR0026	s__Bordetella bronchiseptica	tet(A)	tet(A)	WP_000804064.1	-	-	-	-	Gene presence detected	acquired	tetracycline	-	nonwildtype	R	MIC >64 mg/L	PMID: 26275219	26275219	ECO:0001103 natural variation mutant evidence	moderate	statistical geno/pheno evidence but no experimental evidence											
BOR0023	s__Bordetella bronchiseptica	blaOXA-2	blaOXA-2	-	AJS10312.1	-	-	-	Gene presence detected	acquired	ampicillin	-	nonwildtype	R	MIC >16 mg/L	ECOFF (May 2025)	26275219	ECO:0001103 natural variation mutant evidence	moderate	statistical geno/pheno evidence but no experimental evidence											
BOR0024	s__Bordetella bronchiseptica	blaCMY-2	blaCMY-2	WP_000976514.1	-	-	-	-	Gene presence detected	acquired	ceftiofur	-	nonwildtype	R	MIC >8 mg/L	PMID: 19914850	19914850	ECO:0001103 natural variation mutant evidence	moderate	statistical geno/pheno evidence but no experimental evidence											
BOR0025	s__Bordetella bronchiseptica	ampC	-	WP_041692555.1	-	-	-	-	Gene presence detected	acquired	ceftiofur	-	nonwildtype	R	MIC >8 mg/L	PMID: 19914850	19914850	ECO:0001103 natural variation mutant evidence	moderate	statistical geno/pheno evidence but no experimental evidence											
BOR0011	s__Bordetella hinzii	blaHBL	blaHBL	WP_080700357.1	-	-	-	-	Gene presence detected	core	-	penicillin beta-lactam	wildtype	R	not applicable	2021 EUCAST PK/PD (nonspecies related) breakpoints	35318919	ECO:0000005 enzymatic activity assay evidence	moderate	lacks evidence of the degree to which MIC is affected	Wildtype core gene expected to confer resistance to penicillins										
BOR0012	s__Bordetella hinzii	aac(6')	aac(6')	WP_026868862.1	-	-	-	-	Gene presence detected	acquired	-	aminoglycoside antibiotic	nonwildtype	R	not applicable	none	-	ECO:0001103 natural variation mutant evidence	weak	lacks evidence for this genus	"aac(6Õ) was detected in 26/30 B. hinzii genomes screened using amrfinder plus. In other genus, aac(6') confers aminogylcoside resistance but there is no direct evidence for this in B. hinzii yet. "										
BOR0010	s__Bordetella holmesii	blaHBL	blaHBL	WP_080700357.1	-	-	-	-	Gene presence detected	core	-	penicillin beta-lactam	wildtype	R	not applicable	2021 EUCAST PK/PD (nonspecies related) breakpoints	35318919	ECO:0000005 enzymatic activity assay evidence	moderate	lacks evidence of the degree to which MIC is affected	Wildtype core gene expected to confer resistance to penicillins										
BOR0009	s__Bordetella parapertussis	blaBOR	blaBOR	WP_010926363.1	-	-	-	-	Gene presence detected	core	-	penicillin beta-lactam	wildtype	R	not applicable	Expected resistant phenotype (PMID:15917575)	15917575	ECO:0000005 enzymatic activity assay evidence	strong	lacks evidence of the degree to which MIC is affected	Wildtype core gene expected to confer resistance to penicillins										
BOR0001	s__Bordetella pertussis	23S rRNA	-	NR_103973.1:1-2882	-	-	ARO:3004125 	c.[2037A>G]3	Nucleotide variant detected in multi-copy gene	acquired	erythromycin	-	nonwildtype	R	MIC >256 mg/L	PMID:12624047	12624047	"ECO:0001113 point mutation phenotypic evidence, ECO:0001103 natural variation mutant evidence"	strong		"Acquired mutation in 23s rRNA confers resistance to macrolides. Bordetella pertussis has 3 copies of 23s rRNA. Mutation in all 3 copies is required to confer resistance. Mutation in one or two copies leads to heterogeneous pattern of resistance. Mutation is equivalent to 23s_A2058G (NC_004431.1) in E. coli. In the original publication (PMID:12624047), this mutation was referred to as 2047A>G because the relative position was based on an old sequence of the B. pertussis 23s rRNA  that has been discontinued in refseq/genbank. The relative position of this mutation in the current B. pertussis 23s sequence (NR_103973.1) is 2037A>G and this is the nomenclature we have used. Most papers use the original 2047A>G nomenclature to be consistent as explained in PMID: 30898080."										
BOR0002	s__Bordetella pertussis	23S rRNA	-	NR_103973.1:1-2882	-	-	ARO:3004125 	c.[2037A>G]3	Nucleotide variant detected in multi-copy gene	acquired	azithromycin	-	nonwildtype	R	MIC >256 mg/L	PMID:12624047	12624047	"ECO:0001113 point mutation phenotypic evidence, ECO:0001103 natural variation mutant evidence"	strong		"Acquired mutation in 23s rRNA confers resistance to macrolides. Bordetella pertussis has 3 copies of 23s rRNA. Mutation in all 3 copies is required to confer resistance. Mutation in one or two copies leads to heterogeneous pattern of resistance. Mutation is equivalent to 23s_A2058G (NC_004431.1) in E. coli. In the original publication (PMID:12624047), this mutation was referred to as 2047A>G because the relative position was based on an old sequence of the B. pertussis 23s rRNA  that has been discontinued in refseq/genbank. The relative position of this mutation in the current B. pertussis 23s sequence (NR_103973.1) is 2037A>G and this is the nomenclature we have used. Most papers use the original 2047A>G nomenclature to be consistent as explained in PMID: 30898080."										
BOR0027	s__Bordetella pertussis	23S rRNA	-	NR_103973.1:1-2882	-	-	ARO:3004125 	c.[2037A>G]3	Nucleotide variant detected in multi-copy gene	acquired	clarithromycin	-	nonwildtype	R	MIC >256 mg/L	PMID:12624047	12624047	"ECO:0001113 point mutation phenotypic evidence, ECO:0001103 natural variation mutant evidence"	strong		"Acquired mutation in 23s rRNA confers resistance to macrolides. Bordetella pertussis has 3 copies of 23s rRNA. Mutation in all 3 copies is required to confer resistance. Mutation in one or two copies leads to heterogeneous pattern of resistance. Mutation is equivalent to 23s_A2058G (NC_004431.1) in E. coli. In the original publication (PMID:12624047), this mutation was referred to as 2047A>G because the relative position was based on an old sequence of the B. pertussis 23s rRNA  that has been discontinued in refseq/genbank. The relative position of this mutation in the current B. pertussis 23s sequence (NR_103973.1) is 2037A>G and this is the nomenclature we have used. Most papers use the original 2047A>G nomenclature to be consistent as explained in PMID: 30898080."										
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
